買賣租管;ㄇㄞㄇㄞㄗㄨㄍㄨㄢ;maimaizuguan
訴訟抗辯;ㄙㄨㄙㄨㄥㄎㄤㄅ一ㄢ,ㄙㄨㄙㄨㄥㄎㄤㄅㄢ;susongkangban,susongkangbian
粿條批發;ㄍㄨㄛㄊ一ㄠㄆ一ㄈㄚ;guotiaopifa
MCI長途電話公司;MCIㄓㄤㄊㄨㄉ一ㄢㄏㄨㄚㄍㄨㄥㄙ,MCIㄔㄤㄊㄨㄉ一ㄢㄏㄨㄚㄍㄨㄥㄙ;MCIchangtudianhuagongsi,MCIzhangtudianhuagongsi
辭典;ㄘㄉ一ㄢ;cidian
抽水;ㄔㄡㄕㄨㄟ;choushui
交通事故傷害賠償;ㄐ一ㄠㄊㄨㄥㄕㄍㄨㄕㄤㄏㄞ賠ㄔㄤ;jiaotongshigushanghai賠chang
熱飲紙杯;ㄖㄜ一ㄣㄓㄅㄟ;reyinzhibei
維修水管;ㄨㄟㄒ一ㄡㄕㄨㄟㄍㄨㄢ;weixiushuiguan
飛紋症;ㄈㄟㄨㄣㄓㄥ;feiwenzheng
縮位撥號;ㄙㄨㄛㄨㄟㄅㄛㄏㄠ;suoweibohao
殺菌器;ㄕㄚㄐㄩㄣㄑ一;shajunqi
李國明房地產經紀;ㄌ一ㄍㄨㄛㄇ一ㄥㄈㄤㄉ一ㄔㄢㄐ一ㄥㄐ一,ㄌ一ㄍㄨㄛㄇ一ㄥㄈㄤㄉㄜㄔㄢㄐ一ㄥㄐ一;liguomingfangdechanjingji,liguomingfangdichanjingji
24小時租車;24ㄒ一ㄠㄕㄗㄨㄔㄜ,24ㄒ一ㄠㄕㄗㄨㄐㄩ;24xiaoshizuju,24xiaoshizuche
豬肉;ㄓㄨㄖㄡ;zhurou
浴室更新;ㄩㄕㄍㄥㄒ一ㄣ;yushigengxin
卡內基訓練;ㄎㄚㄋㄟㄐ一ㄒㄩㄣㄌ一ㄢ,ㄑ一ㄚㄋㄟㄐ一ㄒㄩㄣㄌ一ㄢ;kaneijixunlian,qianeijixunlian
國美建築;ㄍㄨㄛㄇㄟㄐ一ㄢㄓㄨ;guomeijianzhu
新生命靈糧堂;ㄒ一ㄣㄕㄥㄇ一ㄥㄌ一ㄥㄌ一ㄤㄊㄤ;xinshengminglingliangtang
設計行程;ㄕㄜㄐ一ㄒ一ㄥㄔㄥ,ㄕㄜㄐ一ㄏㄤㄔㄥ;shejixingcheng,shejihangcheng
調劑;ㄉ一ㄠㄐ一,ㄊ一ㄠㄐ一;diaoji,tiaoji
全州保險－張建忠;ㄑㄩㄢㄓㄡㄅㄠㄒ一ㄢ－ㄓㄤㄐ一ㄢㄓㄨㄥ;quanzhoubaoxian－zhangjianzhong
(體檢中心);(ㄊ一ㄐ一ㄢㄓㄨㄥㄒ一ㄣ);(tijianzhongxin)
精神分裂症;ㄐ一ㄥㄕㄣㄈㄣㄌ一ㄝㄓㄥ;jingshenfenliezheng
一心旅遊;一ㄒ一ㄣㄌㄩ一ㄡ;yixinlvyou
學童中文教育;ㄒㄩㄝㄊㄨㄥㄓㄨㄥㄨㄣㄐ一ㄠㄩ;xuetongzhongwenjiaoyu
蒂朵百麗美容;ㄉ一ㄉㄨㄛㄅㄞㄌ一ㄇㄟㄖㄨㄥ;diduobailimeirong
松珍生物科技;ㄙㄨㄥㄓㄣㄕㄥㄨㄎㄜㄐ一;songzhenshengwukeji
黃石公園;ㄏㄨㄤㄉㄢㄍㄨㄥㄩㄢ,ㄏㄨㄤㄕㄍㄨㄥㄩㄢ;huangshigongyuan,huangdangongyuan
全自動包裝機;ㄑㄩㄢㄗㄉㄨㄥㄅㄠㄓㄨㄤㄐ一;quanzidongbaozhuangji
直營;ㄓ一ㄥ;zhiying
LS養生館;LS一ㄤㄕㄥㄍㄨㄢ;LSyangshengguan
商店偷竊;ㄕㄤㄉ一ㄢㄊㄡㄑ一ㄝ;shangdiantouqie
結紮;ㄐ一ㄝㄗㄚ;jieza
簡訊;ㄐ一ㄢㄒㄩㄣ;jianxun
地震險;ㄉ一ㄓㄣㄒ一ㄢ,ㄉㄜㄓㄣㄒ一ㄢ;dezhenxian,dizhenxian
馨香花藝;ㄒ一ㄣㄒ一ㄤㄏㄨㄚ一;xinxianghuayi
北京餐廳;ㄅㄟㄐ一ㄥㄘㄢㄊ一ㄥ;beijingcanting
歸化人籍;ㄍㄨㄟㄏㄨㄚㄖㄣㄐ一;guihuarenji
週六數學;ㄓㄡㄌ一ㄡㄕㄨㄚㄒㄩㄝ,ㄓㄡㄌ一ㄡㄕㄨㄒㄩㄝ;zhouliushuoxue,zhouliushuxue
同性戀權益;ㄊㄨㄥㄒ一ㄥㄌ一ㄢㄑㄩㄢ一;tongxinglianquanyi
商業英語;ㄕㄤ一ㄝ一ㄥㄩ;shangyeyingyu
黃錦志醫師;ㄏㄨㄤㄐ一ㄣㄓ一ㄕ;huangjinzhiyishi
劉隆德醫師;ㄌ一ㄡㄌㄨㄥㄉㄜ一ㄕ;liulongdeyishi
海參批發;ㄏㄞㄕㄣㄆ一ㄈㄚ,ㄏㄞㄘㄢㄆ一ㄈㄚ;haishenpifa,haicanpifa
石版畫;ㄉㄢㄅㄢㄏㄨㄚ,ㄕㄅㄢㄏㄨㄚ;shibanhua,danbanhua
全記製麵公司;ㄑㄩㄢㄐ一ㄓㄇ一ㄢㄍㄨㄥㄙ;quanjizhimiangongsi
選舉;ㄒㄩㄢㄐㄩ;xuanju
姜定原醫師;ㄐ一ㄤㄉ一ㄥㄩㄢ一ㄕ;jiangdingyuanyishi
噴霧;ㄆㄣㄨ;penwu
大昌保險理財─洪振筌;ㄉㄚㄔㄤㄅㄠㄒ一ㄢㄌ一ㄘㄞ─ㄏㄨㄥㄓㄣㄑㄩㄢ,ㄉㄞㄔㄤㄅㄠㄒ一ㄢㄌ一ㄘㄞ─ㄏㄨㄥㄓㄣㄑㄩㄢ;daichangbaoxianlicai─hongzhenquan,dachangbaoxianlicai─hongzhenquan
電視製作;ㄉ一ㄢㄕㄓㄗㄨㄛ;dianshizhizuo
天使窗簾‧室內設計;ㄊ一ㄢㄕㄔㄨㄤㄌ一ㄢ‧ㄕㄋㄟㄕㄜㄐ一;tianshichuanglian‧shineisheji
興旺專業搬運;ㄒ一ㄥㄨㄤㄓㄨㄢ一ㄝㄅㄢㄩㄣ;xingwangzhuanyebanyun
藍寶石泳池服務;ㄌㄚㄅㄠㄉㄢㄩㄥㄔㄈㄨㄨ,ㄌㄚㄅㄠㄉㄢㄩㄥㄔㄅ一ㄨ,ㄌㄚㄅㄠㄕㄩㄥㄔㄈㄨㄨ,ㄌㄚㄅㄠㄕㄩㄥㄔㄅ一ㄨ,ㄌㄢㄅㄠㄉㄢㄩㄥㄔㄈㄨㄨ,ㄌㄢㄅㄠㄉㄢㄩㄥㄔㄅ一ㄨ,ㄌㄢㄅㄠㄕㄩㄥㄔㄈㄨㄨ,ㄌㄢㄅㄠㄕㄩㄥㄔㄅ一ㄨ;lanbaoshiyongchibiwu,lanbaoshiyongchifuwu,lanbaodanyongchibiwu,lanbaodanyongchifuwu,labaoshiyongchibiwu,labaoshiyongchifuwu,labaodanyongchibiwu,labaodanyongchifuwu
新視覺創意;ㄒ一ㄣㄕㄐㄩㄝㄔㄨㄤ一,ㄒ一ㄣㄕㄐ一ㄠㄔㄨㄤ一;xinshijuechuangyi,xinshijiaochuangyi
志仁幼兒園;ㄓㄖㄣ一ㄡㄦㄩㄢ;zhirenyoueryuan
寵物洗澡美容;ㄔㄨㄥㄨㄒ一ㄗㄠㄇㄟㄖㄨㄥ;chongwuxizaomeirong
黃學文─獲國際著名鋼琴家推荐的調音大師;ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄨㄛㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉ一ㄉ一ㄠ一ㄣㄉㄚㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄨㄛㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉ一ㄉ一ㄠ一ㄣㄉㄞㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄨㄛㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉ一ㄊ一ㄠ一ㄣㄉㄚㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄨㄛㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉ一ㄊ一ㄠ一ㄣㄉㄞㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄨㄛㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉㄜㄉ一ㄠ一ㄣㄉㄚㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄨㄛㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉㄜㄉ一ㄠ一ㄣㄉㄞㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄨㄛㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉㄜㄊ一ㄠ一ㄣㄉㄚㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄨㄛㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉㄜㄊ一ㄠ一ㄣㄉㄞㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄠㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉ一ㄉ一ㄠ一ㄣㄉㄚㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄠㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉ一ㄉ一ㄠ一ㄣㄉㄞㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄠㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉ一ㄊ一ㄠ一ㄣㄉㄚㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄠㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉ一ㄊ一ㄠ一ㄣㄉㄞㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄠㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉㄜㄉ一ㄠ一ㄣㄉㄚㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄠㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉㄜㄉ一ㄠ一ㄣㄉㄞㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄠㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉㄜㄊ一ㄠ一ㄣㄉㄚㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄠㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉㄜㄊ一ㄠ一ㄣㄉㄞㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄨㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉ一ㄉ一ㄠ一ㄣㄉㄚㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄨㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉ一ㄉ一ㄠ一ㄣㄉㄞㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄨㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉ一ㄊ一ㄠ一ㄣㄉㄚㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄨㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉ一ㄊ一ㄠ一ㄣㄉㄞㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄨㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉㄜㄉ一ㄠ一ㄣㄉㄚㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄨㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉㄜㄉ一ㄠ一ㄣㄉㄞㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄨㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉㄜㄊ一ㄠ一ㄣㄉㄚㄕ,ㄏㄨㄤㄒㄩㄝㄨㄣ─ㄏㄨㄛㄍㄨㄛㄐ一ㄓㄨㄇ一ㄥㄍㄤㄑ一ㄣㄐ一ㄚㄊㄨㄟㄐ一ㄢㄉㄜㄊ一ㄠ一ㄣㄉㄞㄕ;huangxuewen─huoguojizhaominggangqinjiatuijiandediaoyindaishi,huangxuewen─huoguojizhaominggangqinjiatuijiandediaoyindashi,huangxuewen─huoguojizhaominggangqinjiatuijiandetiaoyindaishi,huangxuewen─huoguojizhaominggangqinjiatuijiandetiaoyindashi,huangxuewen─huoguojizhaominggangqinjiatuijiandidiaoyindaishi,huangxuewen─huoguojizhaominggangqinjiatuijiandidiaoyindashi,huangxuewen─huoguojizhaominggangqinjiatuijianditiaoyindaishi,huangxuewen─huoguojizhaominggangqinjiatuijianditiaoyindashi,huangxuewen─huoguojizhuminggangqinjiatuijiandediaoyindaishi,huangxuewen─huoguojizhuminggangqinjiatuijiandediaoyindashi,huangxuewen─huoguojizhuminggangqinjiatuijiandetiaoyindaishi,huangxuewen─huoguojizhuminggangqinjiatuijiandetiaoyindashi,huangxuewen─huoguojizhuminggangqinjiatuijiandidiaoyindaishi,huangxuewen─huoguojizhuminggangqinjiatuijiandidiaoyindashi,huangxuewen─huoguojizhuminggangqinjiatuijianditiaoyindaishi,huangxuewen─huoguojizhuminggangqinjiatuijianditiaoyindashi,huangxuewen─huoguojizhuominggangqinjiatuijiandediaoyindaishi,huangxuewen─huoguojizhuominggangqinjiatuijiandediaoyindashi,huangxuewen─huoguojizhuominggangqinjiatuijiandetiaoyindaishi,huangxuewen─huoguojizhuominggangqinjiatuijiandetiaoyindashi,huangxuewen─huoguojizhuominggangqinjiatuijiandidiaoyindaishi,huangxuewen─huoguojizhuominggangqinjiatuijiandidiaoyindashi,huangxuewen─huoguojizhuominggangqinjiatuijianditiaoyindaishi,huangxuewen─huoguojizhuominggangqinjiatuijianditiaoyindashi
廠房管理;ㄔㄤㄈㄤㄍㄨㄢㄌ一;changfangguanli
長榮航空公司(貨運中心);ㄓㄤㄖㄨㄥㄏㄤㄎㄨㄥㄍㄨㄥㄙ(ㄏㄨㄛㄩㄣㄓㄨㄥㄒ一ㄣ),ㄔㄤㄖㄨㄥㄏㄤㄎㄨㄥㄍㄨㄥㄙ(ㄏㄨㄛㄩㄣㄓㄨㄥㄒ一ㄣ);changronghangkonggongsi(huoyunzhongxin),zhangronghangkonggongsi(huoyunzhongxin)
精美電腦綜合服務;ㄐ一ㄥㄇㄟㄉ一ㄢㄋㄠㄗㄨㄥㄍㄜㄈㄨㄨ,ㄐ一ㄥㄇㄟㄉ一ㄢㄋㄠㄗㄨㄥㄍㄜㄅ一ㄨ,ㄐ一ㄥㄇㄟㄉ一ㄢㄋㄠㄗㄨㄥㄏㄜㄈㄨㄨ,ㄐ一ㄥㄇㄟㄉ一ㄢㄋㄠㄗㄨㄥㄏㄜㄅ一ㄨ;jingmeidiannaozonggebiwu,jingmeidiannaozonggefuwu,jingmeidiannaozonghebiwu,jingmeidiannaozonghefuwu
吊扇清潔;ㄉ一ㄠㄕㄢㄑ一ㄥㄐ一ㄝ;diaoshanqingjie
通天閣─羅蘭崗;ㄊㄨㄥㄊ一ㄢㄍㄜ─ㄌㄨㄛㄌㄢㄍㄤ;tongtiange─luolangang
建築增建;ㄐ一ㄢㄓㄨㄗㄥㄐ一ㄢ;jianzhuzengjian
商業不動產貸款;ㄕㄤ一ㄝㄅㄨㄉㄨㄥㄔㄢㄉㄞㄎㄨㄢ;shangyebudongchandaikuan
殺除病毒;ㄕㄚㄔㄨㄅ一ㄥㄉㄨ;shachubingdu
龍翔廉價機票中心;ㄌㄨㄥㄒ一ㄤㄌ一ㄢㄐ一ㄚㄐ一ㄆ一ㄠㄓㄨㄥㄒ一ㄣ;longxianglianjiajipiaozhongxin
鄒宏智房地產經紀;ㄗㄡㄏㄨㄥㄓㄈㄤㄉ一ㄔㄢㄐ一ㄥㄐ一,ㄗㄡㄏㄨㄥㄓㄈㄤㄉㄜㄔㄢㄐ一ㄥㄐ一;zouhongzhifangdechanjingji,zouhongzhifangdichanjingji
傷害;ㄕㄤㄏㄞ;shanghai
宏基建築工程公司;ㄏㄨㄥㄐ一ㄐ一ㄢㄓㄨㄍㄨㄥㄔㄥㄍㄨㄥㄙ;hongjijianzhugongchenggongsi
抵押借貸;ㄉ一一ㄚㄐ一ㄝㄉㄞ;diyajiedai
修理保養;ㄒ一ㄡㄌ一ㄅㄠ一ㄤ;xiulibaoyang
格蘭汽車輪胎及修護中心;ㄍㄜㄌㄢㄑ一ㄔㄜㄌㄨㄣㄊㄞㄐ一ㄒ一ㄡㄏㄨㄓㄨㄥㄒ一ㄣ,ㄍㄜㄌㄢㄑ一ㄐㄩㄌㄨㄣㄊㄞㄐ一ㄒ一ㄡㄏㄨㄓㄨㄥㄒ一ㄣ;gelanqijuluntaijixiuhuzhongxin,gelanqicheluntaijixiuhuzhongxin
性別岐視;ㄒ一ㄥㄅ一ㄝㄑ一ㄕ;xingbieqishi
美國海外聯合律師事務所;ㄇㄟㄍㄨㄛㄏㄞㄨㄞㄌ一ㄢㄍㄜㄌㄩㄕㄕㄨㄙㄨㄛ,ㄇㄟㄍㄨㄛㄏㄞㄨㄞㄌ一ㄢㄏㄜㄌㄩㄕㄕㄨㄙㄨㄛ;meiguohaiwailiangelvshishiwusuo,meiguohaiwailianhelvshishiwusuo
幸運招牌布條圖章印刷公司;ㄒ一ㄥㄩㄣㄓㄠㄆㄞㄅㄨㄊ一ㄠㄊㄨㄓㄤ一ㄣㄕㄨㄚㄍㄨㄥㄙ;xingyunzhaopaibutiaotuzhangyinshuagongsi
北方菜……;ㄅㄟㄈㄤㄘㄞ……;beifangcai……
魚箱用品;ㄩㄒ一ㄤㄩㄥㄆ一ㄣ;yuxiangyongpin
幼兒園鋼結構;一ㄡㄦㄩㄢㄍㄤㄐ一ㄝㄍㄡ;youeryuangangjiegou
推拿;ㄊㄨㄟㄋㄚ;tuina
幼兒園、托兒所、育嬰中心;一ㄡㄦㄩㄢ、ㄊㄨㄛㄦㄙㄨㄛ、ㄩ一ㄥㄓㄨㄥㄒ一ㄣ;youeryuan、tuoersuo、yuyingzhongxin
買房;ㄇㄞㄈㄤ;maifang
栢林建築工程;栢ㄌ一ㄣㄐ一ㄢㄓㄨㄍㄨㄥㄔㄥ;栢linjianzhugongcheng
曹朱惠儀牙醫師;ㄘㄠㄓㄨㄏㄨㄟ一一ㄚ一ㄕ;caozhuhuiyiyayishi
瓊妮釣具店;ㄑㄩㄥㄋ一ㄉ一ㄠㄐㄩㄉ一ㄢ;qiongnidiaojudian
修改貸款;ㄒ一ㄡㄍㄞㄉㄞㄎㄨㄢ;xiugaidaikuan
安瑪麗手相專家;ㄢㄇㄚㄌ一ㄕㄡㄒ一ㄤㄓㄨㄢㄐ一ㄚ;anmalishouxiangzhuanjia
清除壁紙;ㄑ一ㄥㄔㄨㄅ一ㄓ;qingchubizhi
中心健保;ㄓㄨㄥㄒ一ㄣㄐ一ㄢㄅㄠ;zhongxinjianbao
調停;ㄉ一ㄠㄊ一ㄥ,ㄊ一ㄠㄊ一ㄥ;diaoting,tiaoting
肉毒桿菌;ㄖㄡㄉㄨㄍㄢㄐㄩㄣ;rouduganjun
糖尿病患足部保健;ㄊㄤㄙㄨㄟㄅ一ㄥㄏㄨㄢㄗㄨㄅㄨㄅㄠㄐ一ㄢ,ㄊㄤㄋ一ㄠㄅ一ㄥㄏㄨㄢㄗㄨㄅㄨㄅㄠㄐ一ㄢ;tangniaobinghuanzububaojian,tangsuibinghuanzububaojian
新居遷移;ㄒ一ㄣㄐㄩㄑ一ㄢ一;xinjuqianyi
ERIC徐教練;ERICㄒㄩㄐ一ㄠㄌ一ㄢ;ERICxujiaolian
眼角膜;一ㄢㄐㄩㄝㄇㄛ,一ㄢㄐ一ㄠㄇㄛ;yanjuemo,yanjiaomo
物業公証;ㄨ一ㄝㄍㄨㄥ証;wuyegong証
加州營建商;ㄐ一ㄚㄓㄡ一ㄥㄐ一ㄢㄕㄤ;jiazhouyingjianshang
頂級韓國麵粉;ㄉ一ㄥㄐ一ㄏㄢㄍㄨㄛㄇ一ㄢㄈㄣ;dingjihanguomianfen
小型灶;ㄒ一ㄠㄒ一ㄥㄗㄠ;xiaoxingzao
進出口清關;ㄐ一ㄣㄔㄨㄎㄡㄑ一ㄥㄍㄨㄢ;jinchukouqingguan
VANITY醫學美容中心;VANITY一ㄒㄩㄝㄇㄟㄖㄨㄥㄓㄨㄥㄒ一ㄣ;VANITYyixuemeirongzhongxin
橙縣中醫;ㄔㄥㄒ一ㄢㄓㄨㄥ一;chengxianzhongyi
搜索引擎優化;ㄙㄡㄙㄨㄛ一ㄣㄑ一ㄥ一ㄡㄏㄨㄚ;sousuoyinqingyouhua
電視購物頻道;ㄉ一ㄢㄕㄍㄡㄨㄆ一ㄣㄉㄠ,ㄉ一ㄢㄕㄍㄡㄨㄅ一ㄣㄉㄠ;dianshigouwubindao,dianshigouwupindao
體脂肪;ㄊ一ㄓㄈㄤ;tizhifang
紅辣椒;ㄏㄨㄥㄌㄚㄐ一ㄠ;honglajiao
更換屋頂;ㄍㄥㄏㄨㄢㄨㄉ一ㄥ;genghuanwuding
美國地產與貸款公司;ㄇㄟㄍㄨㄛㄉ一ㄔㄢㄩㄉㄞㄎㄨㄢㄍㄨㄥㄙ,ㄇㄟㄍㄨㄛㄉㄜㄔㄢㄩㄉㄞㄎㄨㄢㄍㄨㄥㄙ;meiguodechanyudaikuangongsi,meiguodichanyudaikuangongsi
投資旅卡;ㄊㄡㄗㄌㄩㄎㄚ,ㄊㄡㄗㄌㄩㄑ一ㄚ;touzilvka,touzilvqia
加州畫框與畫廊;ㄐ一ㄚㄓㄡㄏㄨㄚㄎㄨㄤㄩㄏㄨㄚㄌㄤ;jiazhouhuakuangyuhualang
長途接送;ㄓㄤㄊㄨㄐ一ㄝㄙㄨㄥ,ㄔㄤㄊㄨㄐ一ㄝㄙㄨㄥ;changtujiesong,zhangtujiesong
陶瓷漢白玉;ㄊㄠㄘㄏㄢㄅㄞㄩ;taocihanbaiyu
晴天屋頂;ㄑ一ㄥㄊ一ㄢㄨㄉ一ㄥ;qingtianwuding
申通快遞;ㄕㄣㄊㄨㄥㄎㄨㄞㄉ一;shentongkuaidi
牙週組織再生;一ㄚㄓㄡㄗㄨㄓㄗㄞㄕㄥ;yazhouzuzhizaisheng
L&D南加州家電總代理;L&Dㄋㄢㄐ一ㄚㄓㄡㄐ一ㄚㄉ一ㄢㄗㄨㄥㄉㄞㄌ一;L&Dnanjiazhoujiadianzongdaili
地產插牌;ㄉ一ㄔㄢㄔㄚㄆㄞ,ㄉㄜㄔㄢㄔㄚㄆㄞ;dechanchapai,dichanchapai
神經性皮炎;ㄕㄣㄐ一ㄥㄒ一ㄥㄆ一一ㄢ;shenjingxingpiyan
形之美;ㄒ一ㄥㄓㄇㄟ;xingzhimei
緩稅養老退休金;ㄏㄨㄢㄕㄨㄟ一ㄤㄌㄠㄊㄨㄟㄒ一ㄡㄐ一ㄣ;huanshuiyanglaotuixiujin
各式香料;ㄍㄜㄕㄒ一ㄤㄌ一ㄠ;geshixiangliao
做臉椅;ㄗㄨㄛㄌ一ㄢ一;zuolianyi
環保書籍;ㄏㄨㄢㄅㄠㄕㄨㄐ一;huanbaoshuji
舞台音響;ㄨㄊㄞ一ㄣㄒ一ㄤ;wutaiyinxiang
大樓保全;ㄉㄚㄌㄡㄅㄠㄑㄩㄢ,ㄉㄞㄌㄡㄅㄠㄑㄩㄢ;dailoubaoquan,daloubaoquan
國際貿易;ㄍㄨㄛㄐ一ㄇㄠ一;guojimaoyi
長短期看護;ㄓㄤㄉㄨㄢㄑ一ㄎㄢㄏㄨ,ㄔㄤㄉㄨㄢㄑ一ㄎㄢㄏㄨ;changduanqikanhu,zhangduanqikanhu
賀莉莉醫學博士;ㄏㄜㄌ一ㄌ一一ㄒㄩㄝㄅㄛㄕ;heliliyixueboshi
門到門服務;ㄇㄣㄉㄠㄇㄣㄈㄨㄨ,ㄇㄣㄉㄠㄇㄣㄅ一ㄨ;mendaomenbiwu,mendaomenfuwu
優美電話秘書服務中心;一ㄡㄇㄟㄉ一ㄢㄏㄨㄚㄇ一ㄕㄨㄈㄨㄨㄓㄨㄥㄒ一ㄣ,一ㄡㄇㄟㄉ一ㄢㄏㄨㄚㄇ一ㄕㄨㄅ一ㄨㄓㄨㄥㄒ一ㄣ,一ㄡㄇㄟㄉ一ㄢㄏㄨㄚㄅ一ㄕㄨㄈㄨㄨㄓㄨㄥㄒ一ㄣ,一ㄡㄇㄟㄉ一ㄢㄏㄨㄚㄅ一ㄕㄨㄅ一ㄨㄓㄨㄥㄒ一ㄣ,一ㄡㄇㄟㄉ一ㄢㄏㄨㄚㄅ一ㄝㄕㄨㄈㄨㄨㄓㄨㄥㄒ一ㄣ,一ㄡㄇㄟㄉ一ㄢㄏㄨㄚㄅ一ㄝㄕㄨㄅ一ㄨㄓㄨㄥㄒ一ㄣ;youmeidianhuabieshubiwuzhongxin,youmeidianhuabieshufuwuzhongxin,youmeidianhuamishubiwuzhongxin,youmeidianhuamishufuwuzhongxin,youmeidianhuabishubiwuzhongxin,youmeidianhuabishufuwuzhongxin
美中月子中心;ㄇㄟㄓㄨㄥㄩㄝㄗㄓㄨㄥㄒ一ㄣ;meizhongyuezizhongxin
英文寫作中心;一ㄥㄨㄣㄒ一ㄝㄗㄨㄛㄓㄨㄥㄒ一ㄣ;yingwenxiezuozhongxin
